Length,Frequency,Freq Error
8.510638298,0,0
17.0212766,7,2.645751311
25.53191489,38,6.164414003
34.04255319,46,6.782329983
42.55319149,54,7.348469228
51.06382979,50,7.071067812
59.57446809,61,7.810249676
68.08510638,36,6
76.59574468,31,5.567764363
85.10638298,20,4.472135955
93.61702128,30,5.477225575
102.1276596,26,5.099019514
110.6382979,24,4.898979486
119.1489362,14,3.741657387
127.6595745,19,4.358898944
136.1702128,13,3.605551275
144.6808511,20,4.472135955
153.1914894,10,3.16227766
161.7021277,5,2.236067977
170.212766,7,2.645751311
178.7234043,6,2.449489743
187.2340426,5,2.236067977
195.7446809,3,1.732050808
204.2553191,6,2.449489743
212.7659574,6,2.449489743
221.2765957,4,2
229.787234,1,1
238.2978723,0,0
246.8085106,1,1
255.3191489,0,0
